PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment,Data Validity Comment
32,504817429,155254964,C1=CC=C(C=C1)CN2C=C(N=N2)C3=C(N=C4N3C=CC=C4)C5=CC=C(C=C5)Cl,Active,,,,0.001,EC50,=,1,nM,,
33,504818203,155255077,C1=CC(=CC=C1CN2C=C(N=N2)C3=C(N=C4N3C=CS4)C5=CC=C(C=C5)Cl)C#N,Unspecified,,,,5,EC50,>,5000,nM,,
34,504818641,155255012,C1=CC=NC(=C1)CN2C=C(N=N2)C3=C(N=C4N3C=CS4)C5=CC=C(C=C5)Cl,Active,,,,0.01,EC50,=,10,nM,,
35,504818930,155254969,C1=CC2=NC(=C(N2C=C1)C3=CN(N=N3)CC4=CC(=C(C=C4)Cl)C=O)C5=CC=C(C=C5)Cl,Active,,,,0.008,EC50,=,8,nM,,
36,504819624,155255044,CC1=CC=C(C=C1)C2=C(N3C=CC=CC3=N2)C4=CN(N=N4)CC5=CC(=C(C=C5)Cl)Cl,Unspecified,,,,,EC50,=,0,nM,,Outside typical range
37,504821312,155254995,C1=CC2=NC(=C(N2C=C1)C3=CN=C(C=C3)OC4=CC(=C(C=C4)Cl)C(=O)N)C5=CC=C(C=C5)Cl,Inactive,,,Potential missing data,,EC50,,,,Not Active,
38,504822223,155254959,COC(=O)C1=C(C=CC(=C1)CN2C=C(N=N2)C3=C(N=C4N3C=CC=C4)C5=CC=C(C=C5)Cl)Cl,Unspecified,,,,,EC50,=,0,nM,,Outside typical range
39,504822863,155254963,C1=CC2=NC(=C(N2C=C1)C3=NC(=NO3)CC4=CC(=C(C=C4)Cl)Cl)C5=CC=C(C=C5)Cl,Active,,,,0.035,EC50,=,35,nM,,
40,504825058,155255040,C1=CC2=NC(=C(N2C=C1)C3=CN(N=N3)CC4=CC(=C(C=C4)Cl)[N+](=O)[O-])C5=CC=C(C=C5)Cl,Active,,,,0.004,EC50,=,4,nM,,
41,504826248,155254992,CSC1=CC=C(C=C1)CN2C=C(N=N2)C3=C(N=C4N3C=CC=C4)C5=CC=C(C=C5)Cl,Active,,,,0.011,EC50,=,11,nM,,
42,504829987,155254967,C1=CC2=NC(=C(N2C=C1)C3=CN(N=N3)CC4=CC(=C(C=C4)Cl)Cl)C5=C(C=C(C=C5)Cl)Cl,Active,,,,0.062,EC50,=,62,nM,,
43,504830268,155254978,C1=CC(=CC=C1C2=C(N3C=CSC3=N2)C4=CSC(=N4)CC5=CC(=C(C=C5)Cl)Cl)Cl,Active,,,,0.013,EC50,=,13,nM,,
44,504830313,155255022,COC1=C(C=C(C=C1)CN2C=C(N=N2)C3=C(N=C4N3C=CC=C4)C5=CC=C(C=C5)Cl)OC,Active,,,,0.019,EC50,=,19,nM,,
45,504830363,155254977,C1=CC2=NC(=C(N2C=C1)C3=CN(N=N3)CC4=CC(=C(C=C4)Cl)N)C5=CC=C(C=C5)Cl,Active,,,,0.006,EC50,=,6,nM,,
46,504830931,155254986,CC(=O)NC1=CC=C(C=C1)CN2C=C(N=N2)C3=C(N=C4N3C=CC=C4)C5=CC=C(C=C5)Cl,Inactive,,,Potential missing data,,EC50,,,,Not Active,
47,504831118,155255045,C1=CC2=NC(=C(N2C=C1)C3=CN(N=N3)CC4=CC(=C(C=C4)Cl)Cl)C5=CC=C(C=C5)F,Active,,,,0.001,EC50,=,1,nM,,
48,504832686,155255047,CC(=O)C1=C(C=CC(=C1)CN2C=C(N=N2)C3=C(N=C4N3C=CC=C4)C5=CC=C(C=C5)Cl)Cl,Active,,,,0.001,EC50,=,1,nM,,
49,504833959,155255057,COC1=CC=C(C=C1)CN2C=C(N=N2)C3=C(N=C4N3C=CS4)C5=CC=C(C=C5)Cl,Active,,,,0.656,EC50,=,656,nM,,
50,504834618,155255052,COC1=CC=C(C=C1)CN2C=C(N=N2)C3=C(N=C4N3C=CC=C4)C5=CC=C(C=C5)Cl,Active,,,,0.04,EC50,=,40,nM,,
51,504835863,155255081,C1=CC2=NC(=C(N2C=C1)C3=CN(N=N3)CC4=CC(=C(C=C4)Cl)Cl)C5=CC=C(C=C5)C(F)(F)F,Active,,,,0.001,EC50,=,1,nM,,
52,504835874,155255000,CC(=O)NC1=C(C=CC(=C1)CN2C=C(N=N2)C3=C(N=C4N3C=CC=C4)C5=CC=C(C=C5)Cl)Cl,Active,,,,0.134,EC50,=,134,nM,,
53,504836078,155254974,C1=CC(=CC=C1C2=C(N3C=CSC3=N2)C4=NC(=NO4)CC5=CC(=C(C=C5)Cl)Cl)Cl,Active,,,,0.014,EC50,=,14,nM,,
54,504837949,155255020,CS(=O)(=O)C1=CC=C(C=C1)CN2C=C(N=N2)C3=C(N=C4N3C=CC=C4)C5=CC=C(C=C5)Cl,Active,,,,0.009,EC50,=,9,nM,,
55,504838539,155254962,C1=CC2=NC(=C(N2C=C1)C3=NN=C(S3)CC4=CC(=C(C=C4)Cl)Cl)C5=CC=C(C=C5)Cl,Active,,,,0.015,EC50,=,15,nM,,
56,504838752,155255050,C1=CC2=NC(=C(N2C=C1)C3=CN(N=N3)CC4=CC=C(C=C4)Cl)C5=CC=C(C=C5)Cl,Active,,,,0.002,EC50,=,2,nM,,
57,504839101,155255016,C1=CC2=NC(=C(N2C=C1)C3=CN(N=N3)CC4=CC(=C(C=C4)Cl)/C=N/O)C5=CC=C(C=C5)Cl,Active,,,,0.007,EC50,=,7,nM,,
58,504839558,155254971,C1=CC2=NC(=C(N2C=C1)C3=CN(N=C3)CC4=CC(=C(C=C4)Cl)Cl)C5=CC=C(C=C5)Cl,Unspecified,,,,,EC50,=,0,nM,,Outside typical range
59,504840774,155254984,C1=CC2=NC(=C(N2C=C1)C3=CSC(=N3)CC4=CC(=C(C=C4)Cl)Cl)C5=CC=C(C=C5)Cl,Active,,,,0.018,EC50,=,18,nM,,
