Structure,Molecule name,CAS,SMILES,ID_DB_source,,ID_DB maestra,ID_concatenada,DB source,DB subsource,Risk assessment class,Human eco,Species ,Exposure route,Standard value,LD50,LD50 units,MM (g/mol),Operación,pLD50,,Reference DB source,URL,,ToxVal_ID,Chemical_ID
,"1,3-Benzenedicarbonitrile",626-17-5,N#Cc1cccc(C#N)c1,DTXSID7027259,,1685,1685_HPVIS,HPVIS,-,acute,human health,rat,oral,=,1790,mg/kg,128.134,0.0140,1.8548,,"Anon. Acute oral toxicity (LD50) study in rats with isophthaonitrile. Syngenta Report No. CTL/C/3803. Unpublished report. (1986)Posting dates of the document(s) from the HPV Challenge website from which data were extracted for entry into HPVIS: Printing date of initial Robust Summary/IUCLID dataset - Sep. 9, 2005; cover letter dated Sep. 16, 2005received by CBIC/NCIC - Sep. 20, 2005; posted to HPV Challenge website - Oct. 6, 2005.",https://chemview.epa.gov/chemview/,,175637,ToxVal00045_d5338b7c18266af4
,Methyl 4-formylbenzoate,1571-08-0,COC(c1ccc(C=O)cc1)=O,DTXSID4025610,,1686,1686_HPVIS,HPVIS,-,acute,human health,rat,oral,=,3430,mg/kg,164.16,0.0209,1.6800,,"Smyth H.F., Carpenter, C.P., Weil, C.S., and Pozzani, U.C. (1954) Range-finding toxicity data: List V. Arch Ind Hyg Occupat Med 10(1), 61-68.",https://chemview.epa.gov/chemview/,,175638,ToxVal00045_28e25924cd362259
,Chloroacetyl chloride,79-04-9,O=C(CCl)Cl,DTXSID4026472,,1687,1687_HPVIS,HPVIS,-,acute,human health,rabbit,dermal,=,316,mg/kg,112.943,0.0028,2.5532,,"Posting dates of document from HPV Challenge website from which data have been entered into the HPVIS: 22nd December, 2006.Reference:Unpublished data, The Monsanto Company.",https://chemview.epa.gov/chemview/,,175641,ToxVal00045_3fd7181824d873d2
,Diallyl diglycol carbonate,142-22-3,C=CCOC(OCCOCCOC(OCC=C)=O)=O,DTXSID7027095,,1688,1688_HPVIS,HPVIS,-,acute,human health,rabbit,dermal,>,5,-,274.268,0.0000,4.7392,,"Kingery AF, Mayhew DA. 1981. Acute dermal toxicity study in albino rabbits with CR-39/NIRA. Wil Research Laboratories, Inc. Project Number WIL-80210, Dated 10-22-81.",https://chemview.epa.gov/chemview/,,175642,ToxVal00045_136d2ffc5b339a83
,Diallyl diglycol carbonate,142-22-3,C=CCOC(OCCOCCOC(OCC=C)=O)=O,DTXSID7027095,,1689,1689_HPVIS,HPVIS,-,acute,human health,rabbit,dermal,>,3038,mg/kg,274.268,0.0111,1.9556,,"Ebbens K. 1971. Report to PPG Industries, Inc.: Acute toxicity studies with CR-39, allyl diglycol carbonate. Industrial Bio-Test Laboratories, Inc. Report IBT A254, dated Sept. 10, 1971.",https://chemview.epa.gov/chemview/,,175643,ToxVal00045_136d2ffc5b339a83
,Diallyl diglycol carbonate,142-22-3,C=CCOC(OCCOCCOC(OCC=C)=O)=O,DTXSID7027095,,1690,1690_HPVIS,HPVIS,-,acute,human health,rat,oral,=,515,mg/kg,274.268,0.0019,2.7264,,"Kingery A, Mayhew DA. 1981. Acute oral toxicity study in albino rats with CR-39 (479-768). Wil Research Laboratories, Inc. Report WIL-80209, Dated 10-22-81.",https://chemview.epa.gov/chemview/,,175644,ToxVal00045_136d2ffc5b339a83
,Acrylic acid,79-10-7,C=CC(O)=O,DTXSID0039229,,1691,1691_HPVIS,HPVIS,-,acute,human health,rabbit,dermal,=,640,mg/kg,72.0628,0.0089,2.0515,,"BASF AG (1979): Report for the substance 78/520, 08.01.1979.Posting dates of the documents from the HPV Challenge Program website from which data have been entered into the HPVIS: Aug. 22, 2006.",https://chemview.epa.gov/chemview/,,175645,ToxVal00045_9976ef1aaef36425
,Isopropyl ether,108-20-3,CC(C)OC(C)C,DTXSID4021890,,1692,1692_HPVIS,HPVIS,-,acute,human health,rabbit,oral,=,4500,mg/kg,102.176,0.0440,1.3561,,"Posting dates of document from HPV Challenge website from which data have been entered into the HPVIS: 5/12/2006Machle W, Scott EW and Treon J (1939). The physiological response to isopropyl ether and to a mixture of isopropyl ether and gasoline. J. Ind. Hyg. Toxicol. 21:72-96.",https://chemview.epa.gov/chemview/,,175646,ToxVal00045_f588987e1295373a
,"1,1?,1??,1???-(Ethylenedinitrilo)tetrakis(2-propanol)",102-60-3,,DTXSID9026689,,1693,1693_HPVIS,HPVIS,-,acute,human health,rat,oral,=,11200,mg/kg,,#¡DIV/0!,#¡DIV/0!,,"Hill Top Research Institute, Acute Oral Toxicity of Quadrol, March 7, 1956Posting dates of the documents from the HPV Challenge Program website from which data have been entered into the HPVIS: March 15, 2006",https://chemview.epa.gov/chemview/,,175647,ToxVal00045_47b0ae6584236113
,Tromethamine,77-86-1,NC(CO)(CO)CO,DTXSID2023723,,1694,1694_HPVIS,HPVIS,-,acute,human health,mouse,injection,~,3350,mg/kg,121.135,0.0277,1.5582,,"Acute Toxicities of Amines. (1955) Hill Top Research Intitute Inc., Miamiville, OH, USA.",https://chemview.epa.gov/chemview/,,175648,ToxVal00045_b74a1f8c247d658d
,"4,4'-(4,4'-Isopropylidenediphenoxy)bisphthalic dianhydride",38103-06-9,,DTXSID3028001,,1695,1695_HPVIS,HPVIS,-,acute,human health,rabbit,dermal,>,2000,mg/kg,,#¡DIV/0!,#¡DIV/0!,,"Myers, R. C. (1988) Unpublished report for Project No. 50-667 entitled ""Biphenol Dianhydride Acute Toxicity and Primary Irritancy Studies"" dated January 19, 1988 for General Electric Company, Pittsfield, MA, USA; from Bushy Run Research Center, Export, PA, USA.Posting dates of documents from which these data were entered into HPVIS: December 31, 2002 (original robust summary document) and March 15, 2006 (revised robust summary document)",https://chemview.epa.gov/chemview/,,175649,ToxVal00045_b8581b106701b7c5
,N-Methylformamide,123-39-7,CNC=O,DTXSID0025608,,1696,1696_HPVIS,HPVIS,-,acute,human health,mouse,oral,=,2600,mg/kg,59.0677,0.0440,1.3564,,"Langdon, S. P. et al. (1985). Toxicology, 34(2):173-183.Data extracted from robust summaries posted to the HPV Challenge Program website Apr. 13, 2004, Sep. 5, 2006, and Jan. 31, 2007.",https://chemview.epa.gov/chemview/,,175650,ToxVal00045_3b8d055f84323bba
,N-Methylformamide,123-39-7,CNC=O,DTXSID0025608,,1697,1697_HPVIS,HPVIS,-,acute,human health,rat,oral,=,7707,mg/kg,59.0677,0.1305,0.8845,,"Thiersch, J. B. (1971). Mason & Cie, Paris, 95-113.Data extracted from robust summaries posted to the HPV Challenge Program website Apr. 13, 2004, Sep. 5, 2006, and Jan. 31, 2007.",https://chemview.epa.gov/chemview/,,175651,ToxVal00045_3b8d055f84323bba
,ECC,2386-87-0,O=C(C1CC2OC2CC1)OCC1CC2OC2CC1,DTXSID2027466,,1698,1698_HPVIS,HPVIS,-,acute,human health,rabbit,dermal,>,20,mg/kg,252.309,0.0001,4.1009,,"Striegel, J.A. and Carpenter, C.P. (1961). Range finding studies on EP-221. Unpublished report of Union Carbide Corporation.",https://chemview.epa.gov/chemview/,,175652,ToxVal00045_66ff31f8b5c69164
,Carbofuran,1563-66-2,CC(C)(Cc1ccc2)Oc1c2OC(NC)=O,DTXSID9020249,,1699,1699_HPVIS,HPVIS,-,acute,human health,rat,oral,=,13.3,mg/kg,221.255,0.0001,4.2210,,"Norvell M J (1983b); Acute Oral Toxicity of FMC 10242 Technical in Rats; FMC Toxicology Laboratory, Somerville, New Jersey, USA; Unpublished Report No: A83-1102; 11 April 1983.",https://chemview.epa.gov/chemview/,,175653,ToxVal00045_33c449a88931f971
,"2,5-Dihydrothiophene 1,1-dioxide",77-79-2,O=S1(CC=CC1)=O,DTXSID6021294,,1700,1700_HPVIS,HPVIS,-,acute,human health,rat,oral,=,2876.1,mg/kg,118.156,0.0243,1.6137,,"Phillips Petroleum Company Acute Oral Toxicity Study in Rats - Sulfolene - Final Report. Study performed by Hazleton Laboratories America Inc., Vienna Virginia.Hazleton Laboratories America, Inc., 1982. Acute Oral Toxicity Study in Rats - Sulfolene - Final Report. Project No. 652-135. Vienna, Virginia.Data for this submission was posted to the HPV Challenge Program website on Jan. 10, 2007.",https://chemview.epa.gov/chemview/,,175654,ToxVal00045_0f7be623d0db0beb
,"Octadecanoic acid, barium salt",6865-35-6,CCCCCCCCCCCCCCCCCC([O-])=O.CCCCCCCCCCCCCCCCCC([O-])=O.[Ba+2],DTXSID1027637,,1701,1701_HPVIS,HPVIS,-,acute,human health,mouse,oral,=,1832,mg/kg,704.278,0.0026,2.5848,,"Gigiena Truda i Professional'nye Zabolevaniya. Labor Hygiene and Occupational Diseases. (V/O Mazhdunarodnaya Kriga, 113095 Moscow, USSR) V.1-36, 1957-1992. Cited in NISC BiblioLine)Posting date of the documents from the HPV Challenge Program website from which data have been entered into the HPVIS: 12/28/05.",https://chemview.epa.gov/chemview/,,175655,ToxVal00045_b6840575af622106
,2-Butanol,78-92-2,CCC(C)O,DTXSID9021762,,1702,1702_HPVIS,HPVIS,-,acute,human health,rat,dermal,>,2000,mg/kg,74.1224,0.0270,1.5689,,"Price, J. B. (1986). Toxicology of industrial chemicals (solvents): The acute oral and percutaneous toxicity, skin and eye irritancy and skin sensitizing potential of secondary butyl alcohol. Shell research Report SBGR.86.108. Shell Research Limited, Sittingbourne Research Centre.Data entered into the HPVIS extracted from documents posted to the HPV Challenge Program website on Jan. 19, 2007.",https://chemview.epa.gov/chemview/,,175656,ToxVal00045_5febad42912b6069
,"Benzenesulfonic acid, mono-C15-30-branched alkyl and di-C11-13-branched and linear alkyl derivs.",71549-79-6,,DTXSID9029013,,1703,1703_HPVIS,HPVIS,-,acute,human health,rat,oral,=,14.9,-,,#¡DIV/0!,#¡DIV/0!,,"Unpublished confidential business information.Posting dates of the documents from the HPV Challenge Program website from which data have been entered into the HPVIS: November 30, 2005.",https://chemview.epa.gov/chemview/,,175657,ToxVal00045_bdd140f134cd072d
,"Benzenesulfonic acid, C14-24-branched and linear alkyl derivs., calcium salts",115733-09-0,,DTXSID7029083,,1704,1704_HPVIS,HPVIS,-,acute,human health,rabbit,dermal,>,5,-,,#¡DIV/0!,#¡DIV/0!,,"Unpublished confidential business informationPosting dates of the documents from the HPV Challenge Program website from which data have been entered into the HPVIS: November 30, 2005.",https://chemview.epa.gov/chemview/,,175658,ToxVal00045_1ebac8a4e49dd599
,"4,4'-Methylenebis(2-chloroaniline)",101-14-4,Nc(ccc(Cc(cc1)cc(Cl)c1N)c1)c1Cl,DTXSID5020865,,1705,1705_HPVIS,HPVIS,-,acute,human health,rat,oral,=,1140,mg/kg,267.158,0.0043,2.3699,,"Lewis, R.J. (1996) Sax's Dangerous Properties of Industrial Materials. 9th ed. Volumes 1-3. New York, NY: Van Norsrand Reinhold, 1996., p. 2228.Data entered into HPVIS from the following document(s) posted to the HPV Challenge Program website: Feb. 7, 2006.",https://chemview.epa.gov/chemview/,,175660,ToxVal00045_9477a59e82f2d6af
,"1,2-Epoxyhexadecane",7320-37-8,CCCCCCCCCCCCCCC1OC1,DTXSID9025245,,1706,1706_HPVIS,HPVIS,-,acute,human health,rat,oral,>,5000,mg/kg,240.429,0.0208,1.6820,,"SPRINGBORN ENVIRONMENTAL SCIENCES Acute Oral Toxicity Study in Rats with Vikolox 16, SLI STUDY NO. 3255.80, 19 August 1996.Data extracted from the robust summary received by CBIC Jan. 7, 2006 and posted to the HPV Challenge Program website on Feb. 8, 2006.",https://chemview.epa.gov/chemview/,,175662,ToxVal00045_4c7834ee10e3cf47
,beta-Pinene,127-91-3,CC(C)(C(C1)CC2)C1C2=C,DTXSID7027049,,1707,1707_HPVIS,HPVIS,-,acute,human health,rat,injection,=,3415,mg/kg,136.237,0.0251,1.6009,,"Piccirillo V.J. (1984) Fourteen Day Subacute Toxicity Study in the Rat. Private communication.Posting dates of documents from which these data were entered into HPVIS: February 20, 2002 (original robust summaries) and December 7, 2006 (revised robust summaries).",https://chemview.epa.gov/chemview/,,175663,ToxVal00045_a8f6a453b9d56c98
,beta-Pinene,127-91-3,CC(C)(C(C1)CC2)C1C2=C,DTXSID7027049,,1708,1708_HPVIS,HPVIS,-,acute,human health,rat,injection,=,3388,mg/kg,136.237,0.0249,1.6044,,"Piccirillo V.J. (1984) Fourteen Day Subacute Toxicity Study in the Rat. Private communication.Posting dates of documents from which these data were entered into HPVIS: February 20, 2002 (original robust summaries) and December 7, 2006 (revised robust summaries).",https://chemview.epa.gov/chemview/,,175664,ToxVal00045_a8f6a453b9d56c98
,Turpentine oils,8006-64-2,,DTXSID6027680,,1709,1709_HPVIS,HPVIS,-,acute,human health,rat,oral,=,3956,mg/kg,,#¡DIV/0!,#¡DIV/0!,,"Moreno O.M. (1972a) Acute oral toxicity in rats. Unpublished report to RIFM.Posting dates of documents from which these data were entered into HPVIS: February 20, 2002 (original robust summaries) and December 7, 2006 (revised robust summaries).",https://chemview.epa.gov/chemview/,,175665,ToxVal00045_4c77b6a189c93b15
,Myrcene,123-35-3,CC(C)=CCCC(C=C)=C,DTXSID6025692,,1710,1710_HPVIS,HPVIS,-,acute,human health,rat,oral,>,5000,mg/kg,136.237,0.0367,1.4353,,Moreno O. (1972d) Acute oral toxicity of myrcene in rats. Unpublished report.,https://chemview.epa.gov/chemview/,,175666,ToxVal00045_29653a56462fcaaa
,D-Limonene,5989-27-5,CC([C@H]1CC=C(C)CC1)=C,DTXSID1020778,,1711,1711_HPVIS,HPVIS,-,acute,human health,rabbit,dermal,>,5000,mg/kg,136.237,0.0367,1.4353,,Moreno O. (1972a) Acute dermal toxicity of limonene in rabbits. Unpublished report.,https://chemview.epa.gov/chemview/,,175667,ToxVal00045_0e53a3c87dc15fd5
,Styrenated diphenylamine,68442-68-2,c(cc1)ccc1Nc1ccccc1,DTXSID8029444,,1712,1712_HPVIS,HPVIS,-,acute,human health,rat,oral,>,500,mg/kg,169.226,0.0030,2.5295,,"Ricerca Inc., Study No. 5797-93-0196-TX-000 to the Goodyear Tire and Rubber Company, 1993.Original posting date for substituted diphenylamine documents: January 15, 2002Posting date for revised documents for substituted diphenylamines: October 24, 2003 and January 19, 2007.",https://chemview.epa.gov/chemview/,,175668,ToxVal00045_c6d19b852d956438
,"Benzenamine, N-phenyl-, reaction products with isobutylene & 2,4,4-trimethylpentene",184378-08-3,,DTXSID8029862,,1713,1713_HPVIS,HPVIS,-,acute,human health,rat,oral,>,2500,mg/kg,,#¡DIV/0!,#¡DIV/0!,,"Driscoll, R. (2002). Vanlube 961: Acute Oral Toxicity in the Rat - AcuteToxic Class Method, SafePharm Laboratories, Ltd.Original posting date for substituted diphenylamine documents: December 20, 2001Posting date for revised documents for substituted diphenylamines: October 24, 2003 and January 19, 2007.",https://chemview.epa.gov/chemview/,,175669,ToxVal00045_d026e2dbfd7abbd8
,Styrenated diphenylamine,68442-68-2,c(cc1)ccc1Nc1ccccc1,DTXSID8029444,,1714,1714_HPVIS,HPVIS,-,acute,human health,rabbit,dermal,>,10000,mg/kg,169.226,0.0591,1.2285,,"Food and Drug Research Laboratories, Inc., Primary Skin Irritation Study with Rabbits, Laboratory Report No. 2688b to the Goodyear Tire and Rubber Company, 1976.Original posting date for substituted diphenylamine documents: January 15, 2002Posting date for revised documents for substituted diphenylamines: October 24, 2003 and January 19, 2007",https://chemview.epa.gov/chemview/,,175670,ToxVal00045_c6d19b852d956438
,"Hydrocarbon waxes, petroleum, oxidized",64743-00-6,,DTXSID9028255,,1715,1715_HPVIS,HPVIS,-,acute,human health,rat,oral,>,5000,mg/kg,,#¡DIV/0!,#¡DIV/0!,,"Summary of Results of acute toxicology study: Batch 57725, Bioresearch Inc., 3/17/93.Data entered into HPVIS was extracted from robust summary documents posted to the HPV Challenge Program website July 23, 2003 and Dec. 21, 2006.",https://chemview.epa.gov/chemview/,,175671,ToxVal00045_0d0de2889e1da658
,4-tert-Butylcyclohexanol,98-52-2,CC(C)(C)C(CC1)CCC1O,DTXSID5026623,,1716,1716_HPVIS,HPVIS,-,acute,human health,rat,oral,=,4200,mg/kg,156.268,0.0269,1.5706,,"Denine E.P. and Palanker A.C. (1973) Acute oral and dermal toxicity studies. Unpublished report to RIFM.Posting dates of the documents from the HPV Challenge Program website from which data have been entered into the HPVIS: Jan. 30, 2007.",https://chemview.epa.gov/chemview/,,175672,ToxVal00045_ab17bcdb7dc3ad54
,4-tert-Butylcyclohexanol,98-52-2,CC(C)(C)C(CC1)CCC1O,DTXSID5026623,,1717,1717_HPVIS,HPVIS,-,acute,human health,mouse,injection,=,50,mg/kg,156.268,0.0003,3.4949,,"Doull J., V.Plzak and S.J.Brois. (1962) A survey of compounds for radiation protection. Unpublished report.Posting dates of the documents from the HPV Challenge Program website from which data have been entered into the HPVIS: Jan. 30, 2007.",https://chemview.epa.gov/chemview/,,175673,ToxVal00045_ab17bcdb7dc3ad54
,Isodecyl phosphite,25448-25-3,CC(C)CCCCCCCOP([O-])[O-],DTXSID3027873,,1718,1718_HPVIS,HPVIS,-,acute,human health,rat,oral,>,5000,mg/kg,220.248,0.0227,1.6439,,"Gabriel, K.L. 1980. Unpublished report no. 80-2010A entitled ""Summary of results of acute toxicity studies"", dated September 26, 1980 for Tenneco Chemicals Inc., Saddle Brook, NJ from Biosearch Inc., Philadelphia, PA",https://chemview.epa.gov/chemview/,,175674,ToxVal00045_409cf7623ac728f8
,"2,2-Dimethylpropanoic acid",75-98-9,CC(C)(C)C(O)=O,DTXSID8026432,,1719,1719_HPVIS,HPVIS,-,acute,human health,rat,oral,=,2000,mg/kg,102.132,0.0196,1.7081,,"Posting dates of the documents from the HPV Challenge Program website from which data have been entered into the HPVIS: December 14, 2006. Esso Research and Engineering Company (1964). Acute Oral, Dermal, Eye Irritation and Inhalation Toxicity. Unpublished report.",https://chemview.epa.gov/chemview/,,175675,ToxVal00045_244898ce86115579
,Neodecanoic acid,26896-20-8,CC(C)(C)CCCCCC(O)=O,DTXSID7027916,,1720,1720_HPVIS,HPVIS,-,acute,human health,rat,oral,=,2000,mg/kg,172.267,0.0116,1.9352,,"Posting dates of the documents from the HPV Challenge Program website from which data have been entered into the HPVIS: December 14, 2006. Esso Research and Engineering Company (1964). Acute Oral, Dermal, Eye Irritation and Inhalation Toxicity. Unpublished report.",https://chemview.epa.gov/chemview/,,175676,ToxVal00045_65b67ad20cf52dd1
,"Benzene, 1,1'-oxybis-, sec-dodecyl derivs., sulfonated, sodium salts",149119-20-0,,DTXSID9029859,,1721,1721_HPVIS,HPVIS,-,acute,human health,rat,oral,>,2000,mg/kg,,#¡DIV/0!,#¡DIV/0!,,"Wall, J.M., Dowfax XDS 8174: Acute Toxicologic Properties, unpublished Dow report, June 24, 1988.",https://chemview.epa.gov/chemview/,,175678,ToxVal00045_dd8c031133fb7b8a
,Disodium n-decyldiphenyl ether disulfonate,36445-71-3,,DTXSID9027990,,1722,1722_HPVIS,HPVIS,-,acute,human health,rabbit,dermal,>,2000,mg/kg,,#¡DIV/0!,#¡DIV/0!,,"Gilbert, K.S., Berdasco, N.M., Dowfax 3B2: Acute Toxicological Properties, unpublished Dow report, May 14, 1993.",https://chemview.epa.gov/chemview/,,175679,ToxVal00045_de67b441c74f66ea
,Decyl(sulfophenoxy)benzenesulfonic acid,70191-75-2,CCCCCCCCCCc1cccc(S(O)(=O)=O)c1Oc(cccc1)c1S(O)(=O)=O,DTXSID3028978,,1723,1723_HPVIS,HPVIS,-,acute,human health,rat,oral,=,1000,mg/kg,470.605,0.0021,2.6727,,"Gilbert, K.S., Dowfax 3B0: Acute Toxicological Properties, unpublished Dow report, 5 January 1994.",https://chemview.epa.gov/chemview/,,175680,ToxVal00045_be1d41a5945de46c
,"Benzene, 1,1'-oxybis-, sec-hexyl derivs., sulfonated, sodium salts",147732-60-3,,DTXSID4029858,,1724,1724_HPVIS,HPVIS,-,acute,human health,rat,dermal,>,2000,mg/kg,,#¡DIV/0!,#¡DIV/0!,,"Pels Rijcken, NOTOX B.V., The Netherlands, Dowfax* Dry Hydrotrope Powder: Acute Dermal Toxicity (Limit Test) in the Rat, NOTOX Project 233573, NOTOX Substance 81126, Report DET 2644, 17 September, 1998, for Dow Europe S.A., Horgen, Switzerland, unpublished Dow report.",https://chemview.epa.gov/chemview/,,175681,ToxVal00045_63324de97d99cd36
,"Benzene, 1,1'-oxybis-, sec-hexyl derivs., sulfonated, sodium salts",147732-60-3,,DTXSID4029858,,1725,1725_HPVIS,HPVIS,-,acute,human health,rat,oral,>,2000,mg/kg,,#¡DIV/0!,#¡DIV/0!,,"Pels Rijcken, W.R., NOTOX, B.V., The Netherlands, Dowfax* Dry Hydrotrope Powder: Acute Oral Toxicity (Limit Test) in the Rat, NOTOX Project 233562, NOTOX Substance 81126, Report DET 2642, 10 September, 1998, for Dow Europe S.A., Horgen, Switzerland, unpublished Dow report.",https://chemview.epa.gov/chemview/,,175682,ToxVal00045_63324de97d99cd36
,Chloroacetic acid,79-11-8,OC(CCl)=O,DTXSID4020901,,1726,1726_HPVIS,HPVIS,-,acute,not specified,-,subcutaneous,=,97.4,mg/kg,94.4968,0.0010,2.9869,,"Posting dates of document from HPV Challenge website from which data have been entered into the HPVIS: 22nd December, 2006.Reference:Hoechst AG (1979): unpublished study (Rep. No. 79.0233).",https://chemview.epa.gov/chemview/,,175683,ToxVal00045_2a9c1596566a4a64
,Bisphenol A,80-05-7,CC(C)(c(cc1)ccc1O)c(cc1)ccc1O,DTXSID7020182,,1727,1727_HPVIS,HPVIS,-,acute,human health,rat,oral,=,4100,mg/kg,228.29,0.0180,1.7457,,"NTP. 1982. Carcinogenesis Bioassay of Bisphenol A (CAS No. 80-05-7) in F344 Rats B6C3F1 Mice (Feed Study). National Toxicology Program. Technical Report No. 215, Order No. PB82-184060 (NTIS), 1-116. As cited in the EU Risk Assessment.Data entered into the HPVIS extracted from the robust summary document posted to the HPV Challenge Program website Mar. 30, 2007.",https://chemview.epa.gov/chemview/,,175684,ToxVal00045_1b4769fcbcdd9cfc
,"Hydrocarbons, ethylene-manuf.-by-product distn. residues",68921-67-5,,DTXSID5028877,,1728,1728_HPVIS,HPVIS,-,acute,not specified,-,-,>,2000,mg/kg,,#¡DIV/0!,#¡DIV/0!,,"Category Summary Report for High Benzene Naphthas Category, Olefins Panel of the American Chemistry Council, December 10, 2004.",https://chemview.epa.gov/chemview/,,175686,ToxVal00045_0ec578486aea5188
,Chloroacetic acid,79-11-8,OC(CCl)=O,DTXSID4020901,,1729,1729_HPVIS,HPVIS,-,acute,human health,rat,oral,=,55,mg/kg,94.4968,0.0006,3.2351,,"Posting dates of document from HPV Challenge website from which data have been entered into the HPVIS: 22nd December, 2006.Reference:Maksimov, Dubinina (1974): Gig. Tr. Prof. Zabol. 18(9), 32-35.",https://chemview.epa.gov/chemview/,,175688,ToxVal00045_2a9c1596566a4a64
,Chloroacetic acid,79-11-8,OC(CCl)=O,DTXSID4020901,,1730,1730_HPVIS,HPVIS,-,acute,human health,mouse,oral,=,260,mg/kg,94.4968,0.0028,2.5604,,"Posting dates of document from HPV Challenge website from which data have been entered into the HPVIS: 22nd December, 2006.Reference:Berardi et al. (1987): Fund. Appl. Toxicol. 9, 469-479.",https://chemview.epa.gov/chemview/,,175689,ToxVal00045_2a9c1596566a4a64
,"2,4,6-Trimethylphenol",527-60-6,Cc(cc1C)cc(C)c1O,DTXSID7022049,,1731,1731_HPVIS,HPVIS,-,acute,human health,rabbit,dermal,>,2000,mg/kg,136.193,0.0147,1.8331,,"Tay, C.H. (2002). Unpublished report no. 01-7021-G2 entitled ""Acute dermal toxicity study"", dated March 20, 2002 for General Electric Company, Pittsfield, MA, USA; from Toxikon Corporation, Bedford, MA, USA.",https://chemview.epa.gov/chemview/,,175690,ToxVal00045_cc38a37ce59c2336
,"Petroleum products, C5-12, reclaimed, wastewater treatment",68956-70-7,,DTXSID2028937,,1732,1732_HPVIS,HPVIS,-,acute,not specified,-,-,>,2000,mg/kg,,#¡DIV/0!,#¡DIV/0!,,"Category Summary Report for High Benzene Naphthas Category, Olefins Panel of the American Chemistry Council, December 10, 2004.",https://chemview.epa.gov/chemview/,,175691,ToxVal00045_458437d016d7ba5e
,"Distillates, petroleum, steam-cracked",64742-91-2,,DTXSID0028248,,1733,1733_HPVIS,HPVIS,-,acute,not specified,-,-,>,2000,mg/kg,,#¡DIV/0!,#¡DIV/0!,,"Category Summary Report for High Benzene Naphthas Category, Olefins Panel of the American Chemistry Council, December 10, 2004.",https://chemview.epa.gov/chemview/,,175692,ToxVal00045_49527ddcc0c13220
,Nonylphenolphosphite(3:1),26523-78-4,CCCCCCCCCc(cc1)ccc1OP(Oc1ccc(CCCCCCCCC)cc1)Oc1ccc(CCCCCCCCC)cc1,DTXSID8027903,,1734,1734_HPVIS,HPVIS,-,acute,human health,rat,oral,<,10,-,689.014,0.0000,4.8382,,"Unpublished report (1965) entitled Acute Oral Administration ofNonylated Phenyl Phosphite (Samples #1 and #2), Mark 488, and Mark 492to Rats, conducted by Hill Top Research, Inc. Argus Chemical dated June7, 1965.",https://chemview.epa.gov/chemview/,,175693,ToxVal00045_0f7c93b354e3e5db
,Chloroacetic acid,79-11-8,OC(CCl)=O,DTXSID4020901,,1735,1735_HPVIS,HPVIS,-,acute,human health,rat,intravenous,=,55,mg/kg,94.4968,0.0006,3.2351,,"Posting dates of document from HPV Challenge website from which data have been entered into the HPVIS: 22nd December, 2006.Reference:Maksimov, Dubinina (1974): Gig. Tr. Prof. Zabol. 18(9), 32-35.",https://chemview.epa.gov/chemview/,,175694,ToxVal00045_2a9c1596566a4a64
,"Tetrasodium 4,4'-bis(4-(4-sulfophenylamino)-6-(bis(2-hydroxypropyl)amino)-s-triazin-2-yl)amino-2,2-stilbenedisulfonate",67786-25-8,CC(CN(CC(C)O)c1nc(Nc(cc2)ccc2S(O)(=O)=O)nc(Nc2ccc(C=CC3C=CC(Nc4nc(Nc(cc5)ccc5S(O)(=O)=O)nc(N(CC(C)O)CC(C)O)n4)=CC3(S([O-])(=O)=O)S([O-])(=O)=O)cc2)n1)O.CC(CN(CC(C)O)c1nc(Nc(cc2)ccc2S(O)(=O)=O)nc(Nc2ccc(C=CC3C=CC(Nc4nc(Nc(cc5)ccc5S(O)(=O)=O)nc(N(CC(C)O)CC(C)O)n4)=CC3(S([O-])(=O)=O)S([O-])(=O)=O)cc2)n1)O.[Na+].[Na+].[Na+].[Na+],DTXSID0029397,,1736,1736_HPVIS,HPVIS,-,acute,human health,rat,oral,>,2500,mg/kg,2358.42,0.0011,2.9747,,"Bayer AG (1972). Kimmerle G, Solmecke B, BLANKOPHOR CA 4508-Wirkstoff - Toxikologische Untersuchungen. Unpublished report no. 3350 of Bayer-AG, Feb. 25, 1972Posting date of robust summary/IUCLID document on HPV Challenge Program Website from which data were entered into HPVIS: February 8, 2006. Document received by CBIC: January 5, 2006. Document creation date: May 12, 2005.",https://chemview.epa.gov/chemview/,,175695,ToxVal00045_324926c7c86b502d
,"Disodium 4,4'-bis-(2-sulfostyryl)biphenyl",13863-31-5,OS(c1c(C=Cc(cc2)ccc2-c2ccc(C=Cc(cccc3)c3S(O)(=O)=O)cc2)cccc1)(=O)=O.[Na].[Na],DTXSID2027757,,1737,1737_HPVIS,HPVIS,-,acute,human health,rat,oral,>,2562.5,mg/kg,564.589,0.0045,2.3431,,"Industrial Bio-Test Laboratories, Inc. (1972). Acute oral toxicity studies in albino rats. Report No. A1239 to Ciba-Geigy Corporation dated March 24, 1972 (unpublished study).HPV Challenge Program Website posting date of robust summary/IUCLID document from which data were entered into HPVIS: February 8, 2006. Document received by CBIC: January 5, 2006. IUCLID print date and date of last update: Aug. 8, 2005.",https://chemview.epa.gov/chemview/,,175696,ToxVal00045_24fcf12b2b2667a7
